year,institution_name,city_txt,state_cd,classification_name,ef_total_count,sector_name,partic_men,partic_women,total_exp_menwomen,exp_ratio,sports
2019,Alabama A & M University,Normal,AL,NCAA Division I-FCS,4975,Public,15,13,2954877,1.1292497595036588,Basketball
2019,Alabama State University,Montgomery,AL,NCAA Division I-FCS,3446,Public,18,16,1728334,1.267512096308658,Basketball
2019,Jacksonville State University,Jacksonville,AL,NCAA Division I-FCS,5759,Public,14,17,2623129,1.4366746553710104,Basketball
2019,University of North Alabama,Florence,AL,NCAA Division I-FCS,4839,Public,13,12,2124461,1.3466487429265108,Basketball
2019,Samford University,Birmingham,AL,NCAA Division I-FCS,3508,Private nonprofit,13,13,3450723,1.6316406404910146,Basketball
2019,Northern Arizona University,Flagstaff,AZ,NCAA Division I-FCS,21730,Public,16,16,3038110,1.044060765209973,Basketball
2019,University of Arkansas at Pine Bluff,Pine Bluff,AR,NCAA Division I-FCS,2161,Public,13,15,1583563,1.024113279367648,Basketball
2019,University of Central Arkansas,Conway,AR,NCAA Division I-FCS,7597,Public,14,14,2147640,1.4139710072599871,Basketball
2019,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,NCAA Division I-FCS,19639,Public,14,20,3967183,1.2923319342298074,Basketball
2019,California State University-Sacramento,Sacramento,CA,NCAA Division I-FCS,24074,Public,16,24,2822045,1.3030521891704412,Basketball
2019,University of California-Davis,Davis,CA,NCAA Division I-FCS,30151,Public,15,20,4141401,1.2764719365837758,Basketball
2019,University of San Diego,San Diego,CA,NCAA Division I-FCS,5691,Private nonprofit,16,16,5049094,1.3823920488378918,Basketball
2019,University of Northern Colorado,Greeley,CO,NCAA Division I-FCS,7676,Public,15,15,2727205,1.2352563671741172,Basketball
2019,Central Connecticut State University,New Britain,CT,NCAA Division I-FCS,7243,Public,15,15,2993379,0.8327251554221101,Basketball
2019,Sacred Heart University,Fairfield,CT,NCAA Division I-FCS,5348,Private nonprofit,14,21,3161954,1.001868944685695,Basketball
2019,Yale University,New Haven,CT,NCAA Division I-FCS,6088,Private nonprofit,15,15,2265664,1.6089075278029188,Basketball
2019,Delaware State University,Dover,DE,NCAA Division I-FCS,3719,Public,15,14,2159820,0.7310869005912636,Basketball
2019,University of Delaware,Newark,DE,NCAA Division I-FCS,18352,Public,13,31,5203769,1.0630417261178642,Basketball
2019,Georgetown University,Washington,DC,NCAA Division I-FCS,6988,Private nonprofit,16,16,16992533,4.34603007110513,Basketball
2019,Howard University,Washington,DC,NCAA Division I-FCS,6264,Private nonprofit,17,23,2379517,1.1501361728120634,Basketball
2019,Bethune-Cookman University,Daytona Beach,FL,NCAA Division I-FCS,2708,Private nonprofit,15,17,1171344,1.6902030495325107,Basketball
2019,Florida Agricultural and Mechanical University,Tallahassee,FL,NCAA Division I-FCS,6788,Public,15,13,1677931,1.474598193085588,Basketball
2019,Jacksonville University,Jacksonville,FL,NCAA Division I-FCS,2383,Private nonprofit,15,15,3435683,1.262979741959621,Basketball
2019,Stetson University,DeLand,FL,NCAA Division I-FCS,3097,Private nonprofit,16,15,3622568,1.0726575118621298,Basketball
2019,Mercer University,Macon,GA,NCAA Division I-FCS,4253,Private nonprofit,16,12,3880509,1.3332748086875428,Basketball
2019,Idaho State University,Pocatello,ID,NCAA Division I-FCS,5875,Public,17,18,2427056,1.0128497629337334,Basketball
2019,University of Idaho,Moscow,ID,NCAA Division I-FCS,6718,Public,17,13,2812956,1.0750864018117638,Basketball
2019,Eastern Illinois University,Charleston,IL,NCAA Division I-FCS,3990,Public,15,14,1976160,1.3068787515846834,Basketball
2019,Illinois State University,Normal,IL,NCAA Division I-FCS,17072,Public,16,15,3883681,1.8135867411512165,Basketball
2019,Southern Illinois University-Carbondale,Carbondale,IL,NCAA Division I-FCS,7130,Public,14,14,4454520,2.3403897766309494,Basketball
2019,Western Illinois University,Macomb,IL,NCAA Division I-FCS,5151,Public,16,15,2090469,1.11614417730322,Basketball
2019,Butler University,Indianapolis,IN,NCAA Division I-FCS,4485,Private nonprofit,16,36,8148025,2.5409399280602116,Basketball
2019,Indiana State University,Terre Haute,IN,NCAA Division I-FCS,8102,Public,15,14,3332791,1.7664651522232302,Basketball
