NEWID,BLS_URBN,CUTENURE,HIGH_EDU,FAM_SIZE,FINCBEFX,FRSHVEG,FRSHFRUT,FOODTOT,FOODAWAY,FOODHOME
04690611,1,4,12,2,41885,0,0,58.57,0,58.57
04690612,1,4,12,2,41885,0,0,14,14,0
04690621,1,4,14,3,134710,6.46,1.07,227.4,31.45,195.95
04690622,1,4,14,3,134710,0,0,187.72,133.09,54.63
04690661,1,1,13,2,88844,0,10.74885,191.27998,60.28,130.99998
04690662,1,1,13,2,88844,9.27897,0,82.99999,0,82.99999
04690681,1,4,12,1,1782,4.3,0,34.35,0,34.35
04690682,1,4,12,1,1782,0,0,7.8,7.8,0
04690701,1,4,12,4,11020,6.12,5.41,253.98,16.73,237.25
04690702,1,4,12,4,11020,4,9,118.04,47,71.04
04690731,1,1,14,2,145000,0,0,114.94,0,114.94
04690732,1,1,14,2,145000,12.34163,8.29419,178.91001,0,178.91001
04690751,1,4,15,2,45000,11.98,20.97,205.72,0,205.72
04690752,1,4,15,2,45000,0,3.49,27.45,0,27.45
04690801,1,4,14,1,30000,0,0,236.89,50.94,185.95
04690802,1,4,14,1,30000,0,0,135.89,34.56,101.33
04690821,1,4,13,2,0,0,2.63,56.97,39.73,17.24
04690822,1,4,13,2,0,0.91,13.26,55.13,0,55.13
04690841,1,1,15,2,200000,0,0,0,0,0
04690861,1,4,15,1,31000,0,0,13.77,0,13.77
04690862,1,4,15,1,31000,0,0,106.34001,16.9,89.44001
04690881,1,1,16,3,-6700,7.39505,26.77793,214.90502,23.69971,191.20531
04690882,1,1,15,3,-6700,5.05774,5.99522,69.80999,0,69.80999
04690901,1,4,10,3,12540,4.81,10.66,71.5,25.37,46.13
04690902,1,4,10,3,12540,0,0,159.94,48.35,111.59
04690921,1,2,13,2,46580,15.13597,12.53356,169.81,54.4,115.41
04690922,1,2,13,2,46580,16.75,21.27,128.98,0,128.98
04690981,1,1,16,4,217000,19.69318,26.21435,377.64002,86.94,290.70002
04690982,1,1,16,4,217000,0,4.67651,75.66001,0,75.66001
04690991,1,1,15,3,0,0,0,420.37,339.72,80.65
04690992,1,1,15,3,0,0,0,336.72,336.72,0
04691001,1,4,15,1,0,0,0,168.45,145.7,22.75
04691002,1,4,15,1,0,4.81007,9.64948,162.78,93.81,68.97
04691051,1,2,16,2,46200,1.89,5.49,104.13,0,104.13
04691052,1,2,16,2,46200,0,0,0,0,0
04691061,1,4,15,2,19782,0,0,59.42,39.98,19.44
04691062,1,4,15,2,19782,0,8.62,87.2,44.73,42.47
04691071,1,1,15,2,167946,14.3,5.32,381.41,77.32,304.09
04691072,1,1,15,2,167946,7.77,0,352.1,87.64,264.46
04691091,1,1,15,2,87001,2.99,0,169.75,144.33,25.42
04691092,1,1,15,2,87001,10.23,0,341.27,202.79,138.48
04691101,1,4,14,2,1800,0,0,78.57,67.57,11
04691102,1,4,14,2,1800,0,0,64.38,28.37,36.01
04691111,1,4,14,1,44000,0,0,27.12,0,27.12
04691112,1,4,14,1,44000,0,0,14,0,14
04691131,1,4,11,1,0,0,0,0,0,0
04691132,1,3,11,1,0,0,0,0,0,0
04691171,2,4,12,5,81200,0,13.99,113.55,33.6,79.95
04691172,2,4,12,5,81200,0,0,160.25,160.25,0
04691211,1,2,15,1,47655,0,0,22.31,12.19,10.12
04691212,1,2,15,1,47655,14.99,0,138.82,34.22,104.6
04691291,1,4,13,1,0,0,10.98,55.04,18.08,36.96
04691292,1,4,13,1,0,0,16.97,88.63,25.77,62.86
04691361,1,4,14,1,76000,0,0,158.44,37.87,120.57
04691362,1,4,14,1,76000,3.04,4.13,50.92,10,40.92
04691401,1,1,16,2,2500,13.35158,3.39317,100.00001,0,100.00001
04691431,1,1,16,4,67010,36.03215,33.14756,681.50004,203.37,478.13004
04691432,1,1,16,4,67010,10.65601,36.37313,640.58999,177.59,462.99999
