Rank,School,Record
1,Gonzaga University,28-4
2,Houston University,32-6
3,Kansas University,34-6
4,Arizona University,33-4
5,Baylor University,27-7
6,Villanova University,30-8
7,Tennessee University,27-8
8,Texas Tech University,27-10
9,Kentucky University,26-8
10,Duke University,32-7
11,UCLA University,27-8
12,Purdue University,29-8
13,Auburn University,28-6
14,Iowa University,26-10
15,Illinois University,23-10
16,Texas University,22-12
17,North Carolina University,29-10
18,UConn University,23-10
19,Saint Mary's (CA) University,25-8
20,LSU University,22-12
21,University of Arkansas at Pine Bluff,28-9
22,Virginia Tech University,23-13
23,Ohio State University,20-12
24,Providence University,27-6
25,Wisconsin University,25-8
26,San Francisco University,23-10
27,Michigan University,19-15
28,Loyola Chicago University,24-8
29,Murray State University,28-3
30,San Diego State University,23-9
31,Memphis University,22-11
32,Alabama University,19-14
33,TCU University,21-13
34,Boise State University,26-8
35,Colorado State University,24-6
36,Texas A&M University,26-13
37,Xavier University,23-13
38,Michigan State University,23-13
39,Oklahoma University,19-16
40,Southern California University,26-8
41,Iowa State University,22-13
42,Wake Forest University,25-10
43,Notre Dame University,23-11
44,Indiana University,21-14
45,Oklahoma State University,15-15
46,Davidson College,26-7
47,Miami (FL) University,26-11
48,Seton Hall University,20-11
49,UAB University,25-8
50,Marquette University,19-13
51,Creighton University,23-12
52,Dayton University,24-11
53,SMU University,24-9
54,Washington State University,22-15
55,North Texas University,23-7
56,Vermont University,27-6
57,VCU University,22-10
58,Wyoming University,24-9
59,BYU University,22-11
60,Mississippi State University,18-16
61,Florida University,20-14
62,Vanderbilt University,19-17
63,Chattanooga University,25-8
64,St. John's (NY) University,17-15
65,Utah State University,17-16
66,Saint Louis University,22-12
67,South Dakota State University,28-5
68,Virginia University,21-14
69,Kansas State University,14-17
70,Santa Clara University,21-12
71,Towson University,25-9
72,Missouri State University,22-11
73,West Virginia University,16-17
74,Colorado University,21-12
75,St. Bonaventure University,23-10
76,Oregon University,19-15
77,Fresno State University,22-13
78,New Mexico State University,24-7
79,Belmont University,24-8
80,Rutgers University,18-14
81,Clemson University,17-16
82,Furman University,21-12
83,Syracuse University,16-17
84,Richmond University,24-13
85,Drake University,23-11
86,Toledo University,25-8
87,Wichita State University,15-13
88,Penn State University,14-17
89,Iona College,25-8
90,Maryland University,15-17
91,Northwestern University,14-16
92,Grand Canyon University,21-8
93,South Carolina University,17-13
94,Tulane University,14-15
95,Middle Tenn. University,24-11
96,Cincinnati University,17-15
97,UNLV University,17-14
98,UNI University,19-12
99,UCF University,18-12
100,Arizona State University,14-17
101,Louisiana Tech University,21-10
102,Bradley University,16-14
103,DePaul University,15-16
104,Florida State University,17-14
105,Saint Peter's University,21-12
106,Stanford University,16-16
107,Princeton University,21-7
108,Wofford College,17-13
109,Minnesota University,13-17
110,Ole Miss University,13-19
111,Temple University,17-12
112,Hofstra University,19-11
113,Washington University,17-15
114,George Mason University,14-16
115,Morehead State University,20-11
116,Utah Valley University,18-12
117,Butler University,19-Dec
118,Liberty University,19-11
119,Ohio University,24-10
120,Buffalo University,17-11
121,Abilene Christian University,21-11
122,Western Kentucky University,17-13
123,SFA University,18-10
124,Colgate University,22-12
125,Nevada University,18-Dec
126,Akron University,22-10
127,Texas State University,18-8
128,Montana State University,25-8
129,Seattle U University,21-9
130,Louisville University,13-19
131,Longwood University,22-7
132,Fla. Atlantic University,16-15
133,Utah University,20-Nov
134,Delaware University,21-13
135,Wagner College,20-6
136,UC Irvine University,13-10
137,Southern Ill. University,15-15
138,Kent State University,21-11
139,NC State University,21-Nov
140,Monmouth University,21-13
141,Boston College University,13-20
142,Rhode Island University,14-16
143,UC Santa Barbara University,15-11
144,Col. of Charleston University,17-15
145,Nebraska University,22-Oct
146,UNCW University,25-9
147,Winthrop University,20-9
148,Jacksonville State University,19-11
149,Yale University,18-12
150,California University,20-Dec
151,Missouri University,21-Nov
152,Coastal Carolina University,15-14
153,Sam Houston University,16-14
154,Drexel University,14-14
155,Cal State Fullerton University,19-11
156,South Alabama University,17-12
157,Georgia Tech University,20-Nov
158,Georgia State University,15-11
159,Long Beach State University,18-13
160,Oral Roberts University,16-12
161,UTEP University,18-14
162,North Dakota State University,21-10
163,UC Riverside University,14-12
164,Southern Utah University,21-12
165,New Mexico University,19-Nov
166,Weber State University,19-12
167,App State University,16-15
168,Jacksonville University,17-10
169,Norfolk State University,21-7
170,Gardner-Webb University,15-13
171,UNC Greensboro University,16-15
172,Hawaii University,15-11
173,Oakland University,18-12
174,Navy University,20-11
175,VMI University,13-16
176,Samford University,18-11
177,Fordham University,16-16
178,Massachusetts University,15-17
179,Cleveland State University,18-11
