country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,rather important,not very important,rather important,strongly agree,agree,disagree,rather happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,1,5,9,3,38,30-49 years,NA,medium
CHN,very important,very important,very important,agree,agree,disagree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,10,5,NA,NA,52,50 years and over,lower,low
CHN,rather important,not very important,not very important,agree,agree,disagree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,1,5,10,10,69,50 years and over,middle,medium
CHN,very important,very important,very important,strongly agree,disagree,disagree,rather happy,good,8,better off,need to be very careful,quite a lot,quite a lot,8,8,10,1,48,30-49 years,NA,medium
CHN,not very important,not very important,rather important,disagree,agree,disagree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,1,10,10,1,70,50 years and over,high,medium
CHN,not very important,not very important,rather important,disagree,strongly agree,disagree,rather happy,fair,7,better off,most people can be trusted,a great deal,not very much,8,3,8,2,30,30-49 years,high,medium
CHN,very important,not very important,very important,agree,disagree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,10,7,10,1,27,16-29 years,high,medium
CHN,not very important,not at all important,not at all important,strongly agree,agree,strongly disagree,rather happy,fair,6,about the same,need to be very careful,not very much,not very much,1,9,5,2,60,50 years and over,middle,low
CHN,not very important,rather important,rather important,strongly agree,agree,agree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,6,6,9,3,63,50 years and over,lower,medium
CHN,very important,very important,not very important,agree,disagree,disagree,rather happy,very good,10,better off,most people can be trusted,a great deal,quite a lot,3,7,6,9,69,50 years and over,lower,medium
CHN,rather important,very important,very important,agree,disagree,disagree,rather happy,very good,9,better off,most people can be trusted,a great deal,not very much,2,6,9,9,68,50 years and over,middle,low
CHN,rather important,not very important,very important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,not very much,quite a lot,2,9,9,1,38,30-49 years,high,medium
CHN,very important,very important,very important,agree,disagree,disagree,rather happy,fair,5,better off,most people can be trusted,quite a lot,quite a lot,8,6,5,5,26,16-29 years,high,medium
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,very good,8,better off,most people can be trusted,quite a lot,quite a lot,9,10,9,1,28,16-29 years,lower,medium
CHN,very important,not very important,very important,strongly agree,disagree,disagree,not very happy,good,5,about the same,most people can be trusted,not very much,not very much,7,6,NA,NA,42,30-49 years,NA,NA
CHN,rather important,not very important,rather important,agree,strongly agree,agree,rather happy,fair,9,better off,most people can be trusted,quite a lot,quite a lot,2,4,NA,NA,60,50 years and over,NA,medium
CHN,rather important,not at all important,not at all important,agree,disagree,agree,very happy,good,10,better off,most people can be trusted,a great deal,a great deal,2,9,10,1,65,50 years and over,lower,high
CHN,very important,not very important,rather important,agree,agree,disagree,rather happy,fair,7,better off,most people can be trusted,quite a lot,quite a lot,5,7,10,1,31,30-49 years,high,medium
CHN,very important,very important,very important,agree,agree,disagree,rather happy,very good,10,better off,need to be very careful,quite a lot,quite a lot,2,9,10,5,50,50 years and over,NA,NA
CHN,very important,very important,very important,agree,agree,disagree,very happy,good,10,better off,most people can be trusted,a great deal,quite a lot,5,10,10,5,66,50 years and over,lower,medium
CHN,very important,not at all important,rather important,agree,NA,agree,not very happy,poor,8,about the same,need to be very careful,quite a lot,a great deal,7,10,8,7,52,50 years and over,lower,low
CHN,very important,not very important,very important,agree,disagree,disagree,rather happy,fair,10,better off,most people can be trusted,quite a lot,quite a lot,7,6,10,1,38,30-49 years,high,medium
CHN,very important,not very important,very important,disagree,agree,agree,not very happy,fair,1,about the same,need to be very careful,not very much,not very much,1,7,NA,NA,48,30-49 years,NA,NA
CHN,rather important,rather important,not very important,disagree,disagree,disagree,rather happy,fair,8,better off,most people can be trusted,quite a lot,quite a lot,3,9,9,7,65,50 years and over,high,medium
CHN,very important,very important,not at all important,agree,agree,agree,very happy,poor,NA,better off,most people can be trusted,not very much,quite a lot,8,10,NA,NA,50,50 years and over,NA,NA
CHN,rather important,rather important,very important,disagree,disagree,disagree,rather happy,fair,7,worse off,most people can be trusted,quite a lot,quite a lot,3,7,10,1,36,30-49 years,high,medium
CHN,very important,very important,very important,disagree,disagree,disagree,very happy,fair,8,better off,most people can be trusted,quite a lot,quite a lot,7,3,9,1,39,30-49 years,high,medium
CHN,not very important,rather important,rather important,disagree,agree,disagree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,1,10,10,1,70,50 years and over,middle,medium
CHN,very important,rather important,very important,disagree,disagree,disagree,rather happy,good,3,better off,most people can be trusted,quite a lot,quite a lot,2,4,8,3,29,16-29 years,high,medium
CHN,very important,rather important,very important,agree,agree,disagree,very happy,fair,5,better off,need to be very careful,a great deal,a great deal,6,8,6,2,63,50 years and over,lower,medium
CHN,very important,not very important,rather important,disagree,disagree,agree,not very happy,fair,6,better off,most people can be trusted,quite a lot,quite a lot,1,6,8,1,34,30-49 years,high,medium
CHN,rather important,not very important,not at all important,disagree,agree,disagree,rather happy,poor,4,better off,most people can be trusted,a great deal,quite a lot,2,5,8,8,63,50 years and over,lower,low
CHN,rather important,rather important,rather important,disagree,agree,agree,rather happy,fair,5,worse off,most people can be trusted,quite a lot,quite a lot,5,5,8,2,50,50 years and over,high,medium
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,fair,6,about the same,most people can be trusted,quite a lot,quite a lot,4,7,8,1,29,16-29 years,high,medium
CHN,rather important,very important,very important,agree,disagree,disagree,rather happy,good,10,worse off,most people can be trusted,a great deal,not very much,1,7,10,10,54,50 years and over,middle,low
CHN,rather important,rather important,very important,agree,disagree,disagree,rather happy,very good,10,worse off,need to be very careful,a great deal,quite a lot,2,9,10,1,57,50 years and over,middle,low
CHN,not very important,not very important,rather important,disagree,disagree,disagree,not at all happy,very good,6,NA,most people can be trusted,quite a lot,none at all,6,8,10,1,56,50 years and over,middle,low
CHN,rather important,not very important,very important,disagree,agree,agree,rather happy,very good,6,NA,most people can be trusted,quite a lot,quite a lot,4,9,10,1,37,30-49 years,high,medium
CHN,rather important,not very important,very important,disagree,agree,disagree,rather happy,good,9,better off,most people can be trusted,quite a lot,a great deal,5,9,NA,NA,36,30-49 years,NA,low
CHN,very important,rather important,very important,agree,agree,disagree,rather happy,good,6,better off,most people can be trusted,quite a lot,quite a lot,8,8,10,10,46,30-49 years,high,medium
CHN,not very important,not very important,very important,agree,disagree,agree,very happy,very good,10,better off,most people can be trusted,quite a lot,quite a lot,8,8,8,1,52,50 years and over,middle,low
CHN,rather important,rather important,rather important,agree,agree,disagree,rather happy,fair,4,better off,need to be very careful,not very much,quite a lot,4,10,9,3,35,30-49 years,NA,medium
CHN,rather important,rather important,rather important,disagree,disagree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,not very much,3,8,1,5,45,30-49 years,high,medium
CHN,very important,very important,very important,agree,agree,disagree,rather happy,poor,10,better off,need to be very careful,a great deal,a great deal,1,1,NA,NA,50,50 years and over,NA,medium
CHN,rather important,not very important,rather important,agree,agree,disagree,not very happy,poor,5,worse off,need to be very careful,quite a lot,quite a lot,7,4,6,3,57,50 years and over,middle,low
CHN,rather important,not at all important,rather important,disagree,agree,disagree,rather happy,good,8,better off,most people can be trusted,not very much,quite a lot,8,9,NA,NA,43,30-49 years,middle,medium
CHN,rather important,not at all important,not at all important,agree,agree,agree,not very happy,poor,5,worse off,need to be very careful,quite a lot,quite a lot,2,8,NA,NA,63,50 years and over,middle,medium
CHN,very important,rather important,rather important,agree,strongly disagree,strongly disagree,rather happy,good,8,better off,most people can be trusted,a great deal,a great deal,3,2,10,1,20,16-29 years,high,medium
CHN,rather important,not very important,very important,agree,agree,agree,rather happy,fair,6,better off,need to be very careful,quite a lot,quite a lot,2,8,9,2,53,50 years and over,lower,low
CHN,very important,very important,not very important,agree,disagree,disagree,not very happy,good,9,better off,most people can be trusted,a great deal,a great deal,3,7,7,10,68,50 years and over,middle,low
CHN,rather important,rather important,very important,agree,strongly agree,disagree,rather happy,good,8,better off,need to be very careful,quite a lot,quite a lot,7,9,10,1,34,30-49 years,high,medium
CHN,NA,NA,NA,agree,strongly agree,agree,not very happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,6,4,10,7,69,50 years and over,NA,medium
